country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Libya,2023,20.98180311890838,54.94850552306693,0.015862573099415203,18.087409031838856,58.54204548490385,1.5905006191078552,1.2649621506817441,1.411106561191252,0.3972,272687.4562018219,87.59635599159077,265154.1695865453,0.0,188156.9726699369,0.0,87.59635599159077,0.0,Desert
Libya,2024,21.094817351598174,53.45171232876712,0.01612214611872146,18.612682648401826,58.36823955787746,1.5916230663067596,1.256091152391527,1.411106561191252,0.3972,272687.4562018219,87.59635599159077,265154.1695865453,0.0,188156.9726699369,0.0,87.59635599159077,0.0,Desert
Madagascar,2022,21.24058872305141,70.12432628524047,0.15234141791044775,10.707452321724709,62.912612778525386,1.6277413262084646,1.3115247752739765,4.816583071355066,0.276,47010.8819378045,17330.282748258433,29680.59918954606,2589.582479624824,0.0,0.0,17330.282748258433,0.0,Savana
Madagascar,2023,20.710925526819924,76.63269276819923,0.26967133620689654,10.334033764367817,63.69030282370379,1.6326531653647396,1.324433209489584,4.816583071355066,0.276,47010.8819378045,17330.282748258433,29680.59918954606,2589.582479624824,0.0,0.0,17330.282748258433,0.0,Savana
Malawi,2022,23.594003938640135,50.576440713101164,0.10080586650082919,10.16701388888889,61.423586192019854,1.6246816189602493,1.2697021712860888,5.121524184226901,0.24,26891.8180576424,25298.22883941174,1593.589218230661,0.0,0.0,0.0,25298.22883941174,0.0,Savana
Malawi,2023,19.960955459770116,72.48679956896552,0.19984674329501917,7.490217911877395,61.45151385488649,1.6219512992173555,1.2780028028883417,5.121524184226901,0.24,26891.8180576424,25298.22883941174,1593.589218230661,0.0,0.0,0.0,25298.22883941174,0.0,Savana
Mali,2022,28.431789914066034,31.380936227951153,0.0689572026232474,14.084184192672998,61.756502856700315,1.6148375591733213,1.3074388948114795,5.304922615165157,0.264,42700.94746122611,16189.417739752398,24555.761135463352,0.0,0.0,0.0,16189.417739752398,0.0,Savana
Mali,2023,31.229431165099268,24.520261886102404,0.05315536833855799,14.625279192789968,62.47407793970816,1.6194174887628294,1.3192207104532632,5.304922615165157,0.264,42700.94746122611,16189.417739752398,24555.761135463352,0.0,0.0,0.0,16189.417739752398,0.0,Savana
Mauritania,2022,27.646753365525317,41.002030289727834,0.026359928299678082,17.472852648522096,64.02880794415202,1.6330520454507882,1.3347408182174436,3.237921374509805,0.39720000000000005,13287.72186377624,3585.5757410189844,8366.343395710963,0.0,0.0,0.0,3585.5757410189844,0.0,Steppe
Mauritania,2023,27.467218137254903,39.6979800540906,0.010128148242055442,19.903159863083165,62.48018054113334,1.6238932461808533,1.3073583770080608,3.237921374509805,0.3972,13287.72186377624,3585.5757410189844,8366.343395710963,0.0,0.0,0.0,3585.5757410189844,0.0,Steppe
