country,year,month,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Nigeria,2022,8,23.696180555555557,83.55704365079364,0.3308035714285714,9.25763888888889,70.64887636049792,1.6835367957879412,1.4212398477237527,2.2569339587125894,0.469,1272908072.6676686,275716432.18139595,997191640.486272,0.0,997191640.486272,0.0,275716432.18139595,0.0,Desert
Nigeria,2022,9,24.087261904761906,85.55178571428571,0.38389285714285715,7.938928571428571,71.80573886754898,1.6879375683997409,1.4482768308129077,2.2569339587125894,0.469,3182270181.6691713,689291080.4534899,2492979101.21568,0.0,2492979101.21568,0.0,689291080.4534899,0.0,Desert
Nigeria,2022,10,25.7681643625192,72.87615207373273,0.1767857142857143,7.121793394777266,71.03392525956917,1.680548511028481,1.442245088325914,2.2569339587125894,0.4689999999999999,3288345854.391477,712267449.8019395,2576078404.589536,0.0,2576078404.589536,0.0,712267449.8019395,0.0,Desert
Nigeria,2022,11,26.695059523809526,54.79801587301587,0.03880952380952381,8.511587301587301,67.32809381181116,1.6529656135688604,1.391996436550327,2.2569339587125894,0.469,3182270181.6691713,689291080.4534899,2492979101.21568,0.0,2492979101.21568,0.0,689291080.4534899,0.0,Desert
Nigeria,2022,12,26.59900153609831,46.383640552995395,0.015168970814132104,9.251766513056834,64.57924238286823,1.6330064246026452,1.3533735379328198,2.2569339587125894,0.4689999999999999,3288345854.391477,712267449.8019395,2576078404.589536,0.0,2576078404.589536,0.0,712267449.8019395,0.0,Desert
Nigeria,2023,1,27.243356374807988,44.629608294930875,0.018433179723502304,9.302803379416282,64.8124410062079,1.6341499180738885,1.358132327267385,2.2569339587125894,0.4689999999999999,3288345854.391477,712267449.8019395,2576078404.589536,0.0,2576078404.589536,0.0,712267449.8019395,0.0,Desert
Nigeria,2023,2,28.516687925170068,43.762329931972786,0.019774659863945578,10.412117346938775,66.12456660705611,1.6418965596646402,1.3813692747182107,2.2569339587125894,0.469,2970118836.22456,643338341.7565906,2326780494.467968,0.0,2326780494.467968,0.0,643338341.7565906,0.0,Desert
Nigeria,2023,3,28.989669738863288,54.569700460829495,0.23834677419354838,9.342895545314901,69.94371550219216,1.6693184188823758,1.4358626970849693,2.2569339587125894,0.4689999999999999,3288345854.391477,712267449.8019395,2576078404.589536,0.0,2576078404.589536,0.0,712267449.8019395,0.0,Desert
Nigeria,2023,4,28.800833333333337,61.53531746031746,0.22927579365079365,9.665357142857143,72.18117986618512,1.683510601433682,1.4728379606548996,2.2569339587125894,0.469,3182270181.6691713,689291080.4534899,2492979101.21568,0.0,2492979101.21568,0.0,689291080.4534899,0.0,Desert
Nigeria,2023,5,28.5161866359447,67.69354838709677,0.18688556067588324,9.477150537634408,73.8272616516524,1.6927266075788412,1.503343304704266,2.2569339587125894,0.4689999999999999,3288345854.391477,712267449.8019395,2576078404.589536,0.0,2576078404.589536,0.0,712267449.8019395,0.0,Desert
Nigeria,2023,6,25.72204365079365,80.49345238095238,0.6281845238095238,8.946884920634922,73.1505563249391,1.6926214738686434,1.4808708795205368,2.2569339587125894,0.469,3182270181.6691713,689291080.4534899,2492979101.21568,0.0,2492979101.21568,0.0,689291080.4534899,0.0,Desert
Nigeria,2023,7,25.32845622119816,81.6802995391705,0.4441897081413211,9.068721198156682,72.83712077074998,1.6917056031984066,1.4728002081606402,2.2569339587125894,0.4689999999999999,3288345854.391477,712267449.8019395,2576078404.589536,0.0,2576078404.589536,0.0,712267449.8019395,0.0,Desert
Nigeria,2023,8,24.37264880952381,84.58720238095238,0.5916964285714286,9.130595238095237,72.05088192361953,1.6890773130445556,1.4534473887764499,2.2569339587125894,0.469,2121513454.446114,459527386.96899325,1661986067.47712,0.0,1661986067.47712,0.0,459527386.96899325,0.0,Desert
Senegal,2022,8,26.480960648148148,81.65219907407408,0.5741377314814815,13.568634259259259,75.06039985995633,1.698522669689383,1.5291832634446276,2.4365366991864845,0.252,278470154.35049856,68843054.22756456,198267996.1753858,16178117.743477669,1032645.8134134677,0.0,68843054.22756456,0.0,Savana
